Order ID,Date,Fulfilment,Sales Channel ,Item,Amount,ship-state
406-6180074-2350757,04-30-22,Amazon,Amazon.in,Set,684,KARNATAKA
406-6180074-2350757,04-30-22,Amazon,Amazon.in,Set,1115,KARNATAKA
406-2403215-8361103,04-30-22,Merchant,Amazon.in,Set,999,KARNATAKA
404-6578109-5618751,04-30-22,Merchant,Amazon.in,kurta,295,KARNATAKA
407-2307966-4961113,04-30-22,Amazon,Amazon.in,kurta,442,KARNATAKA
404-5539778-0029904,04-30-22,Amazon,Amazon.in,Set,563,ASSAM
171-6222676-0740318,04-30-22,Amazon,Amazon.in,kurta,435,DELHI
403-2166075-2254703,04-30-22,Amazon,Amazon.in,Set,563,KARNATAKA
407-5766340-7411567,04-30-22,Amazon,Amazon.in,kurta,399,Gujarat
404-0634392-1837110,04-30-22,Amazon,Amazon.in,Top,,MAHARASHTRA
408-2759943-9849959,04-30-22,Amazon,Amazon.in,Set,1338,WEST BENGAL
403-5977671-8855508,04-30-22,Merchant,Amazon.in,Set,1115,WEST BENGAL
408-9321153-0591557,04-30-22,Amazon,Amazon.in,kurta,399,KARNATAKA
404-0696150-3898703,04-30-22,Merchant,Amazon.in,Set,499,MAHARASHTRA
406-7586136-6520337,04-30-22,Merchant,Amazon.in,Western Dress,791,UTTARAKHAND
407-6146457-8788352,04-30-22,Amazon,Amazon.in,Western Dress,725,BIHAR
404-8514200-3544346,04-30-22,Amazon,Amazon.in,kurta,,KARNATAKA
404-7452877-2137949,04-30-22,Merchant,Amazon.in,kurta,,KARNATAKA
402-2703790-2816329,04-30-22,Merchant,Amazon.in,Set,1278.57,JHARKHAND
407-1515930-8661921,04-30-22,Amazon,Amazon.in,Set,1099,WEST BENGAL
405-9144614-1601126,04-30-22,Merchant,Amazon.in,kurta,533,TELANGANA
407-0994909-4122733,04-30-22,Amazon,Amazon.in,kurta,696,RAJASTHAN
402-7042386-5486768,04-30-22,Amazon,Amazon.in,kurta,363,TAMIL NADU
403-7652993-1507525,04-30-22,Amazon,Amazon.in,Set,631,ODISHA
407-3847456-6656309,04-30-22,Amazon,Amazon.in,Set,1115,BIHAR
407-3847456-6656309,04-30-22,Amazon,Amazon.in,Set,968,BIHAR
171-7623384-8040337,04-30-22,Amazon,Amazon.in,kurta,486,MAHARASHTRA
171-7623384-8040337,04-30-22,Amazon,Amazon.in,Set,597,MAHARASHTRA
171-4607096-6413920,04-30-22,Merchant,Amazon.in,Set,563,MAHARASHTRA
404-6783988-2006729,04-30-22,Amazon,Amazon.in,Set,597,TAMIL NADU
404-6975277-1927553,04-30-22,Merchant,Amazon.in,kurta,458,WEST BENGAL
402-5586272-3646748,04-30-22,Amazon,Amazon.in,Set,1065,UTTARAKHAND
171-6655820-6440356,04-30-22,Amazon,Amazon.in,Set,2130,MAHARASHTRA
171-1584788-8864335,04-30-22,Merchant,Amazon.in,Set,1099,MAHARASHTRA
402-0150402-0900371,04-30-22,Amazon,Amazon.in,Western Dress,721,MADHYA PRADESH
408-6791822-5493964,04-30-22,Amazon,Amazon.in,Set,968,UTTAR PRADESH
405-0483874-0889137,04-30-22,Amazon,Amazon.in,Set,563,UTTAR PRADESH
407-5600921-2143569,04-30-22,Merchant,Amazon.in,Set,995.54,KARNATAKA
404-1607808-0769930,04-30-22,Amazon,Amazon.in,Set,,BIHAR
407-5124083-2725136,04-30-22,Amazon,Amazon.in,Set,682,UTTAR PRADESH
407-4766116-5412325,04-30-22,Amazon,Amazon.in,kurta,399,HIMACHAL PRADESH
402-6885004-6990731,04-30-22,Amazon,Amazon.in,Set,626,TAMIL NADU
402-2207276-9869933,04-30-22,Amazon,Amazon.in,Set,1140,TELANGANA
407-9494293-9423561,04-30-22,Amazon,Amazon.in,kurta,486,JAMMU & KASHMIR
171-6867266-8495534,04-30-22,Amazon,Amazon.in,Set,597,KARNATAKA
408-3475592-6193128,04-30-22,Amazon,Amazon.in,kurta,399,KARNATAKA
171-1987024-2709164,04-30-22,Amazon,Amazon.in,Set,660,ANDHRA PRADESH
406-1522425-5387565,04-30-22,Amazon,Amazon.in,kurta,459,TELANGANA
171-3270734-5045130,04-30-22,Amazon,Amazon.in,Set,631,DELHI
408-4101226-7217932,04-30-22,Merchant,Amazon.in,kurta,459,UTTAR PRADESH
171-5719664-5449151,04-30-22,Amazon,Amazon.in,Set,597,KARNATAKA
403-9400764-4029123,04-30-22,Amazon,Amazon.in,Set,852,KARNATAKA
406-8413944-2634744,04-30-22,Amazon,Amazon.in,kurta,353,TELANGANA
406-8271099-5133911,04-30-22,Amazon,Amazon.in,kurta,345,KARNATAKA
406-8271099-5133911,04-30-22,Amazon,Amazon.in,kurta,329,KARNATAKA
405-3441326-1516368,04-30-22,Amazon,Amazon.in,Top,518,WEST BENGAL
408-8009772-6580317,04-30-22,Amazon,Amazon.in,Top,387,WEST BENGAL
402-4774686-7773937,04-30-22,Merchant,Amazon.in,Top,339,TELANGANA
402-2860689-5652319,04-30-22,Amazon,Amazon.in,Western Dress,744,MADHYA PRADESH
406-6386989-1689108,04-30-22,Merchant,Amazon.in,Set,888,WEST BENGAL
408-9720884-9553122,04-30-22,Amazon,Amazon.in,kurta,487,ODISHA
408-6428766-2839536,04-30-22,Merchant,Amazon.in,kurta,487,ODISHA
408-8641795-6914711,04-30-22,Amazon,Amazon.in,Top,563,HARYANA
402-9475978-1434754,04-30-22,Amazon,Amazon.in,Western Dress,859,ANDHRA PRADESH
407-5776821-9327552,04-30-22,Amazon,Amazon.in,Set,1133,MAHARASHTRA
171-6845071-0336346,04-30-22,Amazon,Amazon.in,Set,788,MAHARASHTRA
404-7491342-1035558,04-30-22,Amazon,Amazon.in,Set,1463,MAHARASHTRA
171-6783343-9758701,04-30-22,Amazon,Amazon.in,kurta,399,PUNJAB
402-0043314-1059527,04-30-22,Amazon,Amazon.in,Western Dress,744,MADHYA PRADESH
406-6586654-6641140,04-30-22,Merchant,Amazon.in,kurta,487,KARNATAKA
405-6120626-0941135,04-30-22,Amazon,Amazon.in,Set,657,KARNATAKA
408-9255314-3102740,04-30-22,Amazon,Amazon.in,Set,1133,MAHARASHTRA
408-3436456-9893130,04-30-22,Amazon,Amazon.in,kurta,399,MAHARASHTRA
408-3870331-6287517,04-30-22,Amazon,Amazon.in,kurta,399,UTTARAKHAND
408-3870331-6287517,04-30-22,Amazon,Amazon.in,kurta,399,UTTARAKHAND
407-2882576-2777135,04-30-22,Merchant,Amazon.in,Set,1233,TELANGANA
403-2256919-4846738,04-30-22,Merchant,Amazon.in,Western Dress,825,KARNATAKA
403-2920089-2403567,04-30-22,Amazon,Amazon.in,Top,487,TAMIL NADU
406-7792526-4685142,04-30-22,Amazon,Amazon.in,Set,563,TELANGANA
406-7680255-6117120,04-30-22,Amazon,Amazon.in,kurta,399,TELANGANA
402-4646784-8411501,04-30-22,Merchant,Amazon.in,kurta,471,HARYANA
405-2788163-4515521,04-30-22,Merchant,Amazon.in,kurta,342,MADHYA PRADESH
405-1757140-2025918,04-30-22,Amazon,Amazon.in,kurta,432,MADHYA PRADESH
403-9105351-8453114,04-30-22,Amazon,Amazon.in,kurta,399,UTTARAKHAND
402-0503400-6235514,04-30-22,Amazon,Amazon.in,Set,736,TAMIL NADU
408-3201739-2676310,04-30-22,Amazon,Amazon.in,Set,1260,MAHARASHTRA
171-8027093-8553945,04-30-22,Amazon,Amazon.in,kurta,399,UTTARAKHAND
403-3331597-7637100,04-30-22,Amazon,Amazon.in,Set,1133,ODISHA
403-4424319-6635501,04-30-22,Amazon,Amazon.in,Set,759,Goa
403-0906375-2269150,04-30-22,Amazon,Amazon.in,kurta,475,MADHYA PRADESH
406-7261451-5682727,04-30-22,Amazon,Amazon.in,Western Dress,744,KARNATAKA
407-5096970-7475550,04-30-22,Merchant,Amazon.in,Set,1902.86,UTTAR PRADESH
402-6566640-5417947,04-30-22,Amazon,Amazon.in,Western Dress,771,TELANGANA
